reading test data from : satellite_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =     5, distance =    1.28, accuracy = 1.00
test_object =   495, predicted_class =   4, true_class =   1, nn =  1453, distance =    2.98, accuracy = 0.00
test_object =   496, predicted_class =   4, true_class =   4, nn =  1164, distance =    2.18, accuracy = 1.00
test_object =   497, predicted_class =   4, true_class =   4, nn =  1165, distance =    1.53, accuracy = 1.00
test_object =   498, predicted_class =   4, true_class =   4, nn =  2323, distance =    1.45, accuracy = 1.00
test_object =   499, predicted_class =   2, true_class =   3, nn =  4253, distance =    1.10, accuracy = 0.00
test_object =   500, predicted_class =   3, true_class =   3, nn =  1114, distance =    1.25, accuracy = 1.00
test_object =   501, predicted_class =   1, true_class =   1, nn =  1125, distance =    1.11, accuracy = 1.00
test_object =   502, predicted_class =   1, true_class =   1, nn =   768, distance =    1.37, accuracy = 1.00
test_object =   503, predicted_class =   1, true_class =   1, nn =  1067, distance =    1.49, accuracy = 1.00
test_object =   504, predicted_class =   1, true_class =   1, nn =  1068, distance =    1.29, accuracy = 1.00
test_object =   505, predicted_class =   6, true_class =   6, nn =  1070, distance =    1.44, accuracy = 1.00
test_object =   506, predicted_class =   6, true_class =   6, nn =  1482, distance =    1.29, accuracy = 1.00
test_object =   507, predicted_class =   6, true_class =   6, nn =  2074, distance =    0.83, accuracy = 1.00
test_object =   508, predicted_class =   6, true_class =   6, nn =  2737, distance =    1.15, accuracy = 1.00
test_object =   509, predicted_class =   6, true_class =   6, nn =  1073, distance =    1.51, accuracy = 1.00
test_object =   510, predicted_class =   2, true_class =   2, nn =  1079, distance =    1.13, accuracy = 1.00
test_object =   511, predicted_class =   2, true_class =   6, nn =  1081, distance =    1.40, accuracy = 0.00
test_object =   512, predicted_class =   6, true_class =   6, nn =  1082, distance =    1.21, accuracy = 1.00
test_object =   513, predicted_class =   6, true_class =   6, nn =  1084, distance =    1.09, accuracy = 1.00
test_object =   514, predicted_class =   6, true_class =   6, nn =  1257, distance =    1.07, accuracy = 1.00
test_object =   515, predicted_class =   6, true_class =   6, nn =   310, distance =    1.90, accuracy = 1.00
test_object =   516, predicted_class =   4, true_class =   4, nn =  1153, distance =    1.17, accuracy = 1.00
test_object =   517, predicted_class =   4, true_class =   4, nn =  1265, distance =    0.83, accuracy = 1.00
test_object =   518, predicted_class =   4, true_class =   4, nn =  1211, distance =    1.11, accuracy = 1.00
test_object =   519, predicted_class =   4, true_class =   4, nn =  1092, distance =    1.20, accuracy = 1.00
test_object =   520, predicted_class =   4, true_class =   4, nn =  2599, distance =    1.99, accuracy = 1.00
test_object =   521, predicted_class =   4, true_class =   1, nn =  1332, distance =    3.47, accuracy = 0.00
test_object =   522, predicted_class =   1, true_class =   1, nn =  1392, distance =    3.07, accuracy = 1.00
test_object =   523, predicted_class =   1, true_class =   1, nn =  1162, distance =    1.91, accuracy = 1.00
test_object =   524, predicted_class =   3, true_class =   3, nn =  1226, distance =    0.96, accuracy = 1.00
test_object =   525, predicted_class =   3, true_class =   3, nn =  1228, distance =    0.99, accuracy = 1.00
test_object =   526, predicted_class =   3, true_class =   3, nn =  1108, distance =    1.04, accuracy = 1.00
test_object =   527, predicted_class =   1, true_class =   1, nn =   404, distance =    1.23, accuracy = 1.00
test_object =   528, predicted_class =   1, true_class =   1, nn =  1182, distance =    1.15, accuracy = 1.00
test_object =   529, predicted_class =   1, true_class =   1, nn =  1125, distance =    0.98, accuracy = 1.00
test_object =   530, predicted_class =   1, true_class =   1, nn =  1185, distance =    0.78, accuracy = 1.00
test_object =   531, predicted_class =   1, true_class =   6, nn =  1242, distance =    1.71, accuracy = 0.00
test_object =   532, predicted_class =   6, true_class =   2, nn =  1201, distance =    1.76, accuracy = 0.00
test_object =   533, predicted_class =   2, true_class =   6, nn =  4377, distance =    0.96, accuracy = 0.00
test_object =   534, predicted_class =   2, true_class =   6, nn =  3950, distance =    1.11, accuracy = 0.00
test_object =   535, predicted_class =   6, true_class =   6, nn =  1705, distance =    1.38, accuracy = 1.00
test_object =   536, predicted_class =   6, true_class =   6, nn =  1146, distance =    1.15, accuracy = 1.00
test_object =   537, predicted_class =   6, true_class =   6, nn =  1254, distance =    0.75, accuracy = 1.00
test_object =   538, predicted_class =   6, true_class =   6, nn =   310, distance =    1.48, accuracy = 1.00
test_object =   539, predicted_class =   4, true_class =   4, nn =  1208, distance =    1.61, accuracy = 1.00
test_object =   540, predicted_class =   4, true_class =   4, nn =  2742, distance =    1.53, accuracy = 1.00
test_object =   541, predicted_class =   4, true_class =   4, nn =  1262, distance =    1.08, accuracy = 1.00
test_object =   542, predicted_class =   4, true_class =   4, nn =  1156, distance =    0.83, accuracy = 1.00
test_object =   543, predicted_class =   4, true_class =   4, nn =  1033, distance =    1.25, accuracy = 1.00
test_object =   544, predicted_class =   4, true_class =   4, nn =  1268, distance =    1.83, accuracy = 1.00
test_object =   545, predicted_class =   1, true_class =   1, nn =   891, distance =    1.89, accuracy = 1.00
test_object =   546, predicted_class =   1, true_class =   1, nn =   271, distance =    1.78, accuracy = 1.00
test_object =   547, predicted_class =   1, true_class =   1, nn =  1274, distance =    1.92, accuracy = 1.00
test_object =   548, predicted_class =   3, true_class =   3, nn =  1171, distance =    0.91, accuracy = 1.00
test_object =   549, predicted_class =   2, true_class =   3, nn =   518, distance =    0.91, accuracy = 0.00
test_object =   550, predicted_class =   2, true_class =   3, nn =  4186, distance =    1.03, accuracy = 0.00
test_object =   551, predicted_class =   3, true_class =   3, nn =  1168, distance =    0.98, accuracy = 1.00
test_object =   552, predicted_class =   2, true_class =   3, nn =  4186, distance =    0.87, accuracy = 0.00
test_object =   553, predicted_class =   1, true_class =   1, nn =   877, distance =    3.59, accuracy = 1.00
test_object =   554, predicted_class =   1, true_class =   1, nn =   893, distance =    1.17, accuracy = 1.00
test_object =   555, predicted_class =   1, true_class =   1, nn =  1185, distance =    1.18, accuracy = 1.00
test_object =   556, predicted_class =   1, true_class =   1, nn =  1238, distance =    1.04, accuracy = 1.00
test_object =   557, predicted_class =   1, true_class =   1, nn =  1238, distance =    1.08, accuracy = 1.00
test_object =   558, predicted_class =   1, true_class =   1, nn =   590, distance =    1.25, accuracy = 1.00
test_object =   559, predicted_class =   6, true_class =   6, nn =  1302, distance =    1.26, accuracy = 1.00
test_object =   560, predicted_class =   6, true_class =   6, nn =  1604, distance =    0.82, accuracy = 1.00
test_object =   561, predicted_class =   6, true_class =   6, nn =  3321, distance =    0.87, accuracy = 1.00
test_object =   562, predicted_class =   6, true_class =   6, nn =  1781, distance =    1.00, accuracy = 1.00
test_object =   563, predicted_class =   6, true_class =   6, nn =  2793, distance =    0.98, accuracy = 1.00
test_object =   564, predicted_class =   6, true_class =   6, nn =  2737, distance =    1.59, accuracy = 1.00
test_object =   565, predicted_class =   3, true_class =   6, nn =  2402, distance =    1.50, accuracy = 0.00
test_object =   566, predicted_class =   3, true_class =   6, nn =  1226, distance =    1.06, accuracy = 0.00
test_object =   567, predicted_class =   2, true_class =   6, nn =  4376, distance =    0.96, accuracy = 0.00
test_object =   568, predicted_class =   6, true_class =   6, nn =  1259, distance =    1.12, accuracy = 1.00
test_object =   569, predicted_class =   6, true_class =   4, nn =  1507, distance =    1.53, accuracy = 0.00
test_object =   570, predicted_class =   4, true_class =   4, nn =  1383, distance =    1.19, accuracy = 1.00
test_object =   571, predicted_class =   4, true_class =   4, nn =  1262, distance =    1.19, accuracy = 1.00
test_object =   572, predicted_class =   4, true_class =   4, nn =  1209, distance =    0.96, accuracy = 1.00
test_object =   573, predicted_class =   4, true_class =   4, nn =  1211, distance =    0.99, accuracy = 1.00
test_object =   574, predicted_class =   4, true_class =   4, nn =  1211, distance =    1.05, accuracy = 1.00
test_object =   575, predicted_class =   4, true_class =   4, nn =  1212, distance =    0.73, accuracy = 1.00
test_object =   576, predicted_class =   4, true_class =   4, nn =  1093, distance =    1.30, accuracy = 1.00
test_object =   577, predicted_class =   1, true_class =   1, nn =   938, distance =    2.38, accuracy = 1.00
test_object =   578, predicted_class =   1, true_class =   1, nn =   645, distance =    1.51, accuracy = 1.00
test_object =   579, predicted_class =   3, true_class =   3, nn =  1226, distance =    0.81, accuracy = 1.00
test_object =   580, predicted_class =   2, true_class =   3, nn =  1344, distance =    0.84, accuracy = 0.00
test_object =   581, predicted_class =   6, true_class =   3, nn =  2641, distance =    1.07, accuracy = 0.00
test_object =   582, predicted_class =   3, true_class =   3, nn =  1346, distance =    1.01, accuracy = 1.00
test_object =   583, predicted_class =   2, true_class =   2, nn =   235, distance =    1.00, accuracy = 1.00
test_object =   584, predicted_class =   2, true_class =   2, nn =   301, distance =    0.83, accuracy = 1.00
test_object =   585, predicted_class =   2, true_class =   2, nn =  1406, distance =    1.21, accuracy = 1.00
test_object =   586, predicted_class =   1, true_class =   1, nn =  1359, distance =    1.73, accuracy = 1.00
test_object =   587, predicted_class =   1, true_class =   1, nn =  1359, distance =    2.27, accuracy = 1.00
test_object =   588, predicted_class =   6, true_class =   6, nn =  1196, distance =    0.79, accuracy = 1.00
test_object =   589, predicted_class =   6, true_class =   6, nn =  1309, distance =    1.06, accuracy = 1.00
test_object =   590, predicted_class =   6, true_class =   6, nn =  1310, distance =    0.92, accuracy = 1.00
test_object =   591, predicted_class =   3, true_class =   6, nn =   991, distance =    1.28, accuracy = 0.00
test_object =   592, predicted_class =   3, true_class =   6, nn =  2993, distance =    1.33, accuracy = 0.00
test_object =   593, predicted_class =   6, true_class =   6, nn =  1322, distance =    1.31, accuracy = 1.00
test_object =   594, predicted_class =   6, true_class =   6, nn =  1322, distance =    1.15, accuracy = 1.00
test_object =   595, predicted_class =   4, true_class =   4, nn =  1383, distance =    0.96, accuracy = 1.00
test_object =   596, predicted_class =   4, true_class =   4, nn =  1384, distance =    1.00, accuracy = 1.00
test_object =   597, predicted_class =   4, true_class =   4, nn =  1209, distance =    1.13, accuracy = 1.00
test_object =   598, predicted_class =   4, true_class =   4, nn =  1211, distance =    0.94, accuracy = 1.00
test_object =   599, predicted_class =   4, true_class =   4, nn =  2756, distance =    1.36, accuracy = 1.00
test_object =   600, predicted_class =   4, true_class =   4, nn =  1154, distance =    1.28, accuracy = 1.00
test_object =   601, predicted_class =   1, true_class =   1, nn =   705, distance =    2.21, accuracy = 1.00
test_object =   602, predicted_class =   1, true_class =   1, nn =   942, distance =    1.31, accuracy = 1.00
test_object =   603, predicted_class =   2, true_class =   3, nn =  1344, distance =    0.83, accuracy = 0.00
test_object =   604, predicted_class =   2, true_class =   2, nn =  1399, distance =    1.51, accuracy = 1.00
test_object =   605, predicted_class =   1, true_class =   1, nn =  1067, distance =    2.02, accuracy = 1.00
test_object =   606, predicted_class =   1, true_class =   1, nn =  1357, distance =    2.62, accuracy = 1.00
test_object =   607, predicted_class =   1, true_class =   1, nn =  1297, distance =    2.25, accuracy = 1.00
test_object =   608, predicted_class =   1, true_class =   1, nn =  1417, distance =    2.05, accuracy = 1.00
test_object =   609, predicted_class =   6, true_class =   6, nn =  1481, distance =    1.51, accuracy = 1.00
test_object =   610, predicted_class =   6, true_class =   6, nn =  2243, distance =    1.04, accuracy = 1.00
test_object =   611, predicted_class =   6, true_class =   6, nn =  2724, distance =    0.89, accuracy = 1.00
test_object =   612, predicted_class =   6, true_class =   6, nn =  1485, distance =    0.86, accuracy = 1.00
test_object =   613, predicted_class =   6, true_class =   6, nn =  1548, distance =    0.86, accuracy = 1.00
test_object =   614, predicted_class =   6, true_class =   6, nn =  1892, distance =    0.91, accuracy = 1.00
test_object =   615, predicted_class =   6, true_class =   6, nn =  1894, distance =    0.94, accuracy = 1.00
test_object =   616, predicted_class =   6, true_class =   6, nn =  1367, distance =    0.96, accuracy = 1.00
test_object =   617, predicted_class =   6, true_class =   6, nn =  1312, distance =    1.21, accuracy = 1.00
test_object =   618, predicted_class =   3, true_class =   6, nn =   128, distance =    1.33, accuracy = 0.00
test_object =   619, predicted_class =   6, true_class =   6, nn =  2850, distance =    1.12, accuracy = 1.00
test_object =   620, predicted_class =   6, true_class =   6, nn =  1379, distance =    1.01, accuracy = 1.00
test_object =   621, predicted_class =   6, true_class =   6, nn =  1379, distance =    0.92, accuracy = 1.00
test_object =   622, predicted_class =   6, true_class =   6, nn =  1566, distance =    1.21, accuracy = 1.00
test_object =   623, predicted_class =   4, true_class =   4, nn =  1155, distance =    1.13, accuracy = 1.00
test_object =   624, predicted_class =   4, true_class =   4, nn =  1387, distance =    1.27, accuracy = 1.00
test_object =   625, predicted_class =   1, true_class =   1, nn =   656, distance =    1.94, accuracy = 1.00
test_object =   626, predicted_class =   1, true_class =   1, nn =  1124, distance =    1.46, accuracy = 1.00
test_object =   627, predicted_class =   1, true_class =   1, nn =  1458, distance =    1.68, accuracy = 1.00
test_object =   628, predicted_class =   1, true_class =   1, nn =  1522, distance =    2.68, accuracy = 1.00
test_object =   629, predicted_class =   2, true_class =   2, nn =  1524, distance =    1.02, accuracy = 1.00
test_object =   630, predicted_class =   2, true_class =   2, nn =  1407, distance =    1.18, accuracy = 1.00
test_object =   631, predicted_class =   2, true_class =   2, nn =  1408, distance =    0.91, accuracy = 1.00
test_object =   632, predicted_class =   2, true_class =   2, nn =   348, distance =    0.86, accuracy = 1.00
test_object =   633, predicted_class =   1, true_class =   1, nn =  1354, distance =    2.61, accuracy = 1.00
test_object =   634, predicted_class =   1, true_class =   1, nn =  1414, distance =    1.95, accuracy = 1.00
test_object =   635, predicted_class =   1, true_class =   1, nn =  1416, distance =    2.70, accuracy = 1.00
test_object =   636, predicted_class =   6, true_class =   6, nn =  1134, distance =    1.82, accuracy = 1.00
test_object =   637, predicted_class =   6, true_class =   6, nn =  1305, distance =    0.85, accuracy = 1.00
test_object =   638, predicted_class =   6, true_class =   6, nn =  1306, distance =    0.84, accuracy = 1.00
test_object =   639, predicted_class =   6, true_class =   6, nn =  1604, distance =    0.78, accuracy = 1.00
test_object =   640, predicted_class =   6, true_class =   6, nn =  2074, distance =    0.83, accuracy = 1.00
test_object =   641, predicted_class =   6, true_class =   6, nn =  1430, distance =    0.93, accuracy = 1.00
test_object =   642, predicted_class =   6, true_class =   6, nn =  1312, distance =    1.27, accuracy = 1.00
test_object =   643, predicted_class =   4, true_class =   6, nn =  1440, distance =    0.74, accuracy = 0.00
test_object =   644, predicted_class =   6, true_class =   6, nn =  3429, distance =    1.53, accuracy = 1.00
test_object =   645, predicted_class =   6, true_class =   6, nn =  1443, distance =    1.40, accuracy = 1.00
test_object =   646, predicted_class =   6, true_class =   6, nn =  1566, distance =    1.31, accuracy = 1.00
test_object =   647, predicted_class =   6, true_class =   6, nn =  1323, distance =    1.15, accuracy = 1.00
test_object =   648, predicted_class =   4, true_class =   4, nn =  2464, distance =    0.99, accuracy = 1.00
test_object =   649, predicted_class =   4, true_class =   4, nn =  1384, distance =    1.11, accuracy = 1.00
test_object =   650, predicted_class =   4, true_class =   4, nn =  1385, distance =    1.27, accuracy = 1.00
test_object =   651, predicted_class =   4, true_class =   4, nn =  1449, distance =    1.37, accuracy = 1.00
test_object =   652, predicted_class =   1, true_class =   1, nn =  1514, distance =    1.90, accuracy = 1.00
test_object =   653, predicted_class =   1, true_class =   1, nn =  1458, distance =    1.60, accuracy = 1.00
test_object =   654, predicted_class =   1, true_class =   1, nn =  1521, distance =    1.75, accuracy = 1.00
test_object =   655, predicted_class =   1, true_class =   1, nn =  1521, distance =    1.91, accuracy = 1.00
test_object =   656, predicted_class =   1, true_class =   1, nn =  1581, distance =    1.77, accuracy = 1.00
test_object =   657, predicted_class =   2, true_class =   2, nn =  1461, distance =    0.91, accuracy = 1.00
test_object =   658, predicted_class =   2, true_class =   2, nn =  1465, distance =    0.89, accuracy = 1.00
test_object =   659, predicted_class =   2, true_class =   2, nn =  1466, distance =    1.05, accuracy = 1.00
test_object =   660, predicted_class =   2, true_class =   2, nn =   670, distance =    0.99, accuracy = 1.00
test_object =   661, predicted_class =   2, true_class =   2, nn =   145, distance =    0.94, accuracy = 1.00
test_object =   662, predicted_class =   2, true_class =   2, nn =  1589, distance =    1.01, accuracy = 1.00
test_object =   663, predicted_class =   2, true_class =   2, nn =   634, distance =    1.62, accuracy = 1.00
test_object =   664, predicted_class =   6, true_class =   6, nn =  2118, distance =    0.96, accuracy = 1.00
test_object =   665, predicted_class =   6, true_class =   6, nn =  1544, distance =    1.04, accuracy = 1.00
test_object =   666, predicted_class =   6, true_class =   6, nn =  1485, distance =    0.99, accuracy = 1.00
test_object =   667, predicted_class =   6, true_class =   6, nn =  1486, distance =    0.89, accuracy = 1.00
test_object =   668, predicted_class =   6, true_class =   6, nn =  1489, distance =    0.94, accuracy = 1.00
test_object =   669, predicted_class =   6, true_class =   6, nn =  3281, distance =    0.91, accuracy = 1.00
test_object =   670, predicted_class =   6, true_class =   6, nn =  1491, distance =    0.90, accuracy = 1.00
test_object =   671, predicted_class =   3, true_class =   6, nn =  2263, distance =    1.47, accuracy = 0.00
test_object =   672, predicted_class =   4, true_class =   4, nn =  1501, distance =    0.84, accuracy = 1.00
test_object =   673, predicted_class =   6, true_class =   6, nn =  1206, distance =    1.07, accuracy = 1.00
test_object =   674, predicted_class =   6, true_class =   6, nn =  1566, distance =    1.08, accuracy = 1.00
test_object =   675, predicted_class =   4, true_class =   4, nn =  1446, distance =    1.24, accuracy = 1.00
test_object =   676, predicted_class =   4, true_class =   4, nn =  1511, distance =    1.62, accuracy = 1.00
test_object =   677, predicted_class =   4, true_class =   1, nn =  1453, distance =    1.72, accuracy = 0.00
test_object =   678, predicted_class =   1, true_class =   1, nn =  1456, distance =    1.95, accuracy = 1.00
test_object =   679, predicted_class =   1, true_class =   1, nn =  1580, distance =    1.98, accuracy = 1.00
test_object =   680, predicted_class =   1, true_class =   1, nn =  1519, distance =    1.06, accuracy = 1.00
test_object =   681, predicted_class =   1, true_class =   1, nn =  1520, distance =    1.24, accuracy = 1.00
test_object =   682, predicted_class =   1, true_class =   1, nn =  1581, distance =    1.28, accuracy = 1.00
test_object =   683, predicted_class =   2, true_class =   2, nn =  1862, distance =    0.92, accuracy = 1.00
test_object =   684, predicted_class =   2, true_class =   2, nn =  1699, distance =    0.94, accuracy = 1.00
test_object =   685, predicted_class =   2, true_class =   2, nn =  1409, distance =    1.06, accuracy = 1.00
test_object =   686, predicted_class =   2, true_class =   2, nn =  1643, distance =    1.05, accuracy = 1.00
test_object =   687, predicted_class =   2, true_class =   2, nn =   817, distance =    1.17, accuracy = 1.00
test_object =   688, predicted_class =   2, true_class =   2, nn =  1533, distance =    1.09, accuracy = 1.00
test_object =   689, predicted_class =   2, true_class =   2, nn =  1757, distance =    1.24, accuracy = 1.00
test_object =   690, predicted_class =   2, true_class =   2, nn =   541, distance =    1.41, accuracy = 1.00
test_object =   691, predicted_class =   2, true_class =   2, nn =   701, distance =    1.71, accuracy = 1.00
test_object =   692, predicted_class =   6, true_class =   1, nn =  3376, distance =    1.93, accuracy = 0.00
test_object =   693, predicted_class =   3, true_class =   1, nn =    13, distance =    2.15, accuracy = 0.00
test_object =   694, predicted_class =   6, true_class =   6, nn =  1535, distance =    1.80, accuracy = 1.00
test_object =   695, predicted_class =   6, true_class =   6, nn =  1193, distance =    1.20, accuracy = 1.00
test_object =   696, predicted_class =   6, true_class =   6, nn =  1884, distance =    0.81, accuracy = 1.00
test_object =   697, predicted_class =   6, true_class =   6, nn =  1544, distance =    0.87, accuracy = 1.00
test_object =   698, predicted_class =   6, true_class =   6, nn =  3280, distance =    0.78, accuracy = 1.00
test_object =   699, predicted_class =   6, true_class =   6, nn =  1605, distance =    0.83, accuracy = 1.00
test_object =   700, predicted_class =   6, true_class =   6, nn =  1608, distance =    0.98, accuracy = 1.00
test_object =   701, predicted_class =   3, true_class =   6, nn =   992, distance =    1.41, accuracy = 0.00
test_object =   702, predicted_class =   4, true_class =   4, nn =  1616, distance =    0.91, accuracy = 1.00
test_object =   703, predicted_class =   4, true_class =   4, nn =  1616, distance =    0.96, accuracy = 1.00
test_object =   704, predicted_class =   4, true_class =   4, nn =  1502, distance =    0.93, accuracy = 1.00
test_object =   705, predicted_class =   4, true_class =   4, nn =  1561, distance =    1.32, accuracy = 1.00
test_object =   706, predicted_class =   4, true_class =   4, nn =  1569, distance =    1.42, accuracy = 1.00
test_object =   707, predicted_class =   4, true_class =   4, nn =  1570, distance =    1.39, accuracy = 1.00
test_object =   708, predicted_class =   3, true_class =   1, nn =  1571, distance =    2.73, accuracy = 0.00
test_object =   709, predicted_class =   1, true_class =   1, nn =  1572, distance =    3.45, accuracy = 1.00
test_object =   710, predicted_class =   1, true_class =   1, nn =  1627, distance =    2.35, accuracy = 1.00
test_object =   711, predicted_class =   1, true_class =   1, nn =  1853, distance =    1.07, accuracy = 1.00
test_object =   712, predicted_class =   1, true_class =   1, nn =  1517, distance =    1.44, accuracy = 1.00
test_object =   713, predicted_class =   1, true_class =   1, nn =  1697, distance =    1.84, accuracy = 1.00
test_object =   714, predicted_class =   1, true_class =   1, nn =  1580, distance =    1.08, accuracy = 1.00
test_object =   715, predicted_class =   1, true_class =   1, nn =  1580, distance =    1.23, accuracy = 1.00
test_object =   716, predicted_class =   2, true_class =   2, nn =  1582, distance =    1.20, accuracy = 1.00
test_object =   717, predicted_class =   2, true_class =   2, nn =  1583, distance =    0.94, accuracy = 1.00
test_object =   718, predicted_class =   2, true_class =   2, nn =  1809, distance =    1.22, accuracy = 1.00
test_object =   719, predicted_class =   2, true_class =   2, nn =  1641, distance =    1.19, accuracy = 1.00
test_object =   720, predicted_class =   2, true_class =   2, nn =  1590, distance =    1.34, accuracy = 1.00
test_object =   721, predicted_class =   2, true_class =   2, nn =   503, distance =    2.31, accuracy = 1.00
test_object =   722, predicted_class =   6, true_class =   6, nn =  1302, distance =    1.34, accuracy = 1.00
test_object =   723, predicted_class =   6, true_class =   6, nn =  3322, distance =    0.99, accuracy = 1.00
test_object =   724, predicted_class =   6, true_class =   6, nn =  1605, distance =    0.76, accuracy = 1.00
test_object =   725, predicted_class =   6, true_class =   6, nn =  3234, distance =    0.72, accuracy = 1.00
test_object =   726, predicted_class =   6, true_class =   6, nn =  2129, distance =    0.81, accuracy = 1.00
test_object =   727, predicted_class =   6, true_class =   6, nn =  1600, distance =    0.78, accuracy = 1.00
test_object =   728, predicted_class =   6, true_class =   6, nn =  2172, distance =    0.75, accuracy = 1.00
test_object =   729, predicted_class =   6, true_class =   6, nn =  2076, distance =    0.92, accuracy = 1.00
test_object =   730, predicted_class =   6, true_class =   6, nn =  1598, distance =    1.07, accuracy = 1.00
test_object =   731, predicted_class =   6, true_class =   6, nn =  1606, distance =    0.93, accuracy = 1.00
test_object =   732, predicted_class =   6, true_class =   6, nn =  1895, distance =    1.06, accuracy = 1.00
test_object =   733, predicted_class =   3, true_class =   6, nn =  2740, distance =    1.59, accuracy = 0.00
test_object =   734, predicted_class =   4, true_class =   4, nn =  1676, distance =    0.94, accuracy = 1.00
test_object =   735, predicted_class =   4, true_class =   4, nn =  1618, distance =    0.95, accuracy = 1.00
test_object =   736, predicted_class =   3, true_class =   6, nn =  1622, distance =    1.18, accuracy = 0.00
test_object =   737, predicted_class =   3, true_class =   3, nn =  1622, distance =    1.18, accuracy = 1.00
test_object =   738, predicted_class =   4, true_class =   3, nn =  1568, distance =    1.72, accuracy = 0.00
test_object =   739, predicted_class =   3, true_class =   4, nn =  1624, distance =    1.43, accuracy = 0.00
test_object =   740, predicted_class =   6, true_class =   3, nn =  1564, distance =    2.15, accuracy = 0.00
test_object =   741, predicted_class =   1, true_class =   1, nn =  1852, distance =    1.23, accuracy = 1.00
test_object =   742, predicted_class =   1, true_class =   1, nn =  1574, distance =    1.11, accuracy = 1.00
test_object =   743, predicted_class =   1, true_class =   1, nn =  1517, distance =    1.82, accuracy = 1.00
test_object =   744, predicted_class =   1, true_class =   1, nn =  1579, distance =    1.63, accuracy = 1.00
test_object =   745, predicted_class =   1, true_class =   1, nn =  1635, distance =    0.97, accuracy = 1.00
test_object =   746, predicted_class =   1, true_class =   1, nn =  1635, distance =    1.19, accuracy = 1.00
test_object =   747, predicted_class =   2, true_class =   2, nn =  1638, distance =    1.09, accuracy = 1.00
test_object =   748, predicted_class =   2, true_class =   2, nn =  1643, distance =    0.95, accuracy = 1.00
test_object =   749, predicted_class =   2, true_class =   2, nn =  1471, distance =    1.03, accuracy = 1.00
test_object =   750, predicted_class =   6, true_class =   6, nn =   969, distance =    1.41, accuracy = 1.00
test_object =   751, predicted_class =   4, true_class =   6, nn =   681, distance =    1.72, accuracy = 0.00
test_object =   752, predicted_class =   6, true_class =   6, nn =  1708, distance =    1.25, accuracy = 1.00
test_object =   753, predicted_class =   6, true_class =   6, nn =  2296, distance =    0.85, accuracy = 1.00
test_object =   754, predicted_class =   6, true_class =   6, nn =  1879, distance =    0.73, accuracy = 1.00
test_object =   755, predicted_class =   6, true_class =   6, nn =  2134, distance =    0.74, accuracy = 1.00
test_object =   756, predicted_class =   6, true_class =   6, nn =  1720, distance =    0.89, accuracy = 1.00
test_object =   757, predicted_class =   6, true_class =   6, nn =  2024, distance =    0.96, accuracy = 1.00
test_object =   758, predicted_class =   6, true_class =   6, nn =  1553, distance =    0.94, accuracy = 1.00
test_object =   759, predicted_class =   6, true_class =   6, nn =  1670, distance =    1.35, accuracy = 1.00
test_object =   760, predicted_class =   6, true_class =   6, nn =  2640, distance =    1.23, accuracy = 1.00
test_object =   761, predicted_class =   4, true_class =   4, nn =  1733, distance =    0.98, accuracy = 1.00
test_object =   762, predicted_class =   4, true_class =   4, nn =  1616, distance =    1.13, accuracy = 1.00
test_object =   763, predicted_class =   4, true_class =   4, nn =  1616, distance =    0.87, accuracy = 1.00
test_object =   764, predicted_class =   4, true_class =   4, nn =  1677, distance =    0.94, accuracy = 1.00
test_object =   765, predicted_class =   3, true_class =   3, nn =  1682, distance =    1.07, accuracy = 1.00
test_object =   766, predicted_class =   6, true_class =   3, nn =  1260, distance =    1.18, accuracy = 0.00
test_object =   767, predicted_class =   1, true_class =   1, nn =  1850, distance =    1.59, accuracy = 1.00
test_object =   768, predicted_class =   1, true_class =   1, nn =  1904, distance =    1.22, accuracy = 1.00
test_object =   769, predicted_class =   1, true_class =   1, nn =  1750, distance =    1.10, accuracy = 1.00
test_object =   770, predicted_class =   1, true_class =   1, nn =  1752, distance =    1.22, accuracy = 1.00
test_object =   771, predicted_class =   1, true_class =   1, nn =  1696, distance =    1.18, accuracy = 1.00
test_object =   772, predicted_class =   2, true_class =   2, nn =  1637, distance =    1.12, accuracy = 1.00
test_object =   773, predicted_class =   2, true_class =   2, nn =  1699, distance =    0.90, accuracy = 1.00
test_object =   774, predicted_class =   2, true_class =   2, nn =  1700, distance =    1.05, accuracy = 1.00
test_object =   775, predicted_class =   2, true_class =   2, nn =  1641, distance =    1.02, accuracy = 1.00
test_object =   776, predicted_class =   2, true_class =   2, nn =  1701, distance =    0.85, accuracy = 1.00
test_object =   777, predicted_class =   2, true_class =   2, nn =   281, distance =    0.98, accuracy = 1.00
test_object =   778, predicted_class =   2, true_class =   2, nn =   281, distance =    1.18, accuracy = 1.00
test_object =   779, predicted_class =   2, true_class =   2, nn =  1080, distance =    1.33, accuracy = 1.00
test_object =   780, predicted_class =   6, true_class =   6, nn =  1536, distance =    1.00, accuracy = 1.00
test_object =   781, predicted_class =   6, true_class =   6, nn =  1710, distance =    0.98, accuracy = 1.00
test_object =   782, predicted_class =   6, true_class =   6, nn =  1711, distance =    0.84, accuracy = 1.00
test_object =   783, predicted_class =   6, true_class =   6, nn =  1985, distance =    0.87, accuracy = 1.00
test_object =   784, predicted_class =   6, true_class =   6, nn =  1714, distance =    0.84, accuracy = 1.00
