reading test data from : yeast_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =   513, distance =    0.30, accuracy = 1.00
test_object =   295, predicted_class =   1, true_class =   0, nn =   567, distance =    0.70, accuracy = 0.00
test_object =   296, predicted_class =   2, true_class =   2, nn =   679, distance =    0.69, accuracy = 1.00
test_object =   297, predicted_class =   6, true_class =   1, nn =   755, distance =    1.33, accuracy = 0.00
test_object =   298, predicted_class =   6, true_class =   6, nn =    84, distance =    0.37, accuracy = 1.00
test_object =   299, predicted_class =   5, true_class =   0, nn =   401, distance =    2.10, accuracy = 0.00
test_object =   300, predicted_class =   6, true_class =   6, nn =   651, distance =    0.90, accuracy = 1.00
test_object =   301, predicted_class =   0, true_class =   0, nn =   837, distance =    0.73, accuracy = 1.00
test_object =   302, predicted_class =   1, true_class =   0, nn =   457, distance =    0.49, accuracy = 0.00
test_object =   303, predicted_class =   1, true_class =   2, nn =   319, distance =    0.99, accuracy = 0.00
test_object =   304, predicted_class =   6, true_class =   1, nn =   534, distance =    0.85, accuracy = 0.00
test_object =   305, predicted_class =   1, true_class =   1, nn =   780, distance =    0.89, accuracy = 1.00
test_object =   306, predicted_class =   6, true_class =   6, nn =   923, distance =    1.10, accuracy = 1.00
test_object =   307, predicted_class =   6, true_class =   7, nn =   628, distance =    0.62, accuracy = 0.00
test_object =   308, predicted_class =   8, true_class =   6, nn =   469, distance =    0.61, accuracy = 0.00
test_object =   309, predicted_class =   6, true_class =   0, nn =   149, distance =    0.42, accuracy = 0.00
test_object =   310, predicted_class =   6, true_class =   2, nn =   748, distance =    0.56, accuracy = 0.00
test_object =   311, predicted_class =   1, true_class =   6, nn =   969, distance =    0.97, accuracy = 0.00
test_object =   312, predicted_class =   0, true_class =   0, nn =   990, distance =    0.36, accuracy = 1.00
test_object =   313, predicted_class =   6, true_class =   6, nn =   805, distance =    0.69, accuracy = 1.00
test_object =   314, predicted_class =   0, true_class =   6, nn =   738, distance =    0.55, accuracy = 0.00
test_object =   315, predicted_class =   6, true_class =   6, nn =   365, distance =    0.52, accuracy = 1.00
test_object =   316, predicted_class =   6, true_class =   6, nn =   553, distance =    1.13, accuracy = 1.00
test_object =   317, predicted_class =   1, true_class =   6, nn =   528, distance =    0.52, accuracy = 0.00
test_object =   318, predicted_class =   2, true_class =   2, nn =   497, distance =    0.59, accuracy = 1.00
test_object =   319, predicted_class =   0, true_class =   0, nn =     2, distance =    0.94, accuracy = 1.00
test_object =   320, predicted_class =   2, true_class =   8, nn =    51, distance =    0.57, accuracy = 0.00
test_object =   321, predicted_class =   6, true_class =   6, nn =   776, distance =    0.50, accuracy = 1.00
test_object =   322, predicted_class =   0, true_class =   6, nn =   285, distance =    0.26, accuracy = 0.00
test_object =   323, predicted_class =   1, true_class =   2, nn =    63, distance =    0.78, accuracy = 0.00
test_object =   324, predicted_class =   7, true_class =   4, nn =   599, distance =    0.86, accuracy = 0.00
test_object =   325, predicted_class =   2, true_class =   1, nn =   809, distance =    0.57, accuracy = 0.00
test_object =   326, predicted_class =   1, true_class =   1, nn =   174, distance =    1.22, accuracy = 1.00
test_object =   327, predicted_class =   2, true_class =   6, nn =   597, distance =    0.45, accuracy = 0.00
test_object =   328, predicted_class =   1, true_class =   2, nn =    63, distance =    1.01, accuracy = 0.00
test_object =   329, predicted_class =   1, true_class =   0, nn =    53, distance =    0.54, accuracy = 0.00
test_object =   330, predicted_class =   1, true_class =   6, nn =   415, distance =    0.66, accuracy = 0.00
test_object =   331, predicted_class =   4, true_class =   4, nn =   646, distance =    1.46, accuracy = 1.00
test_object =   332, predicted_class =   1, true_class =   1, nn =   358, distance =    0.49, accuracy = 1.00
test_object =   333, predicted_class =   0, true_class =   6, nn =   706, distance =    0.49, accuracy = 0.00
test_object =   334, predicted_class =   1, true_class =   1, nn =     7, distance =    1.07, accuracy = 1.00
test_object =   335, predicted_class =   5, true_class =   5, nn =   166, distance =    1.97, accuracy = 1.00
test_object =   336, predicted_class =   1, true_class =   1, nn =    41, distance =    0.83, accuracy = 1.00
test_object =   337, predicted_class =   6, true_class =   1, nn =   291, distance =    3.34, accuracy = 0.00
test_object =   338, predicted_class =   1, true_class =   8, nn =   752, distance =    0.85, accuracy = 0.00
test_object =   339, predicted_class =   2, true_class =   6, nn =   535, distance =    1.30, accuracy = 0.00
test_object =   340, predicted_class =   2, true_class =   8, nn =   872, distance =    1.03, accuracy = 0.00
test_object =   341, predicted_class =   1, true_class =   2, nn =   720, distance =    0.96, accuracy = 0.00
test_object =   342, predicted_class =   0, true_class =   4, nn =   656, distance =    1.87, accuracy = 0.00
test_object =   343, predicted_class =   6, true_class =   4, nn =   652, distance =    1.23, accuracy = 0.00
test_object =   344, predicted_class =   1, true_class =   1, nn =    59, distance =    0.85, accuracy = 1.00
test_object =   345, predicted_class =   1, true_class =   1, nn =   625, distance =    1.05, accuracy = 1.00
test_object =   346, predicted_class =   0, true_class =   1, nn =   852, distance =    1.59, accuracy = 0.00
test_object =   347, predicted_class =   6, true_class =   0, nn =   172, distance =    0.72, accuracy = 0.00
test_object =   348, predicted_class =   1, true_class =   1, nn =   618, distance =    1.03, accuracy = 1.00
test_object =   349, predicted_class =   1, true_class =   1, nn =   608, distance =    0.57, accuracy = 1.00
test_object =   350, predicted_class =   6, true_class =   6, nn =   699, distance =    0.14, accuracy = 1.00
test_object =   351, predicted_class =   6, true_class =   6, nn =   282, distance =    0.38, accuracy = 1.00
test_object =   352, predicted_class =   6, true_class =   6, nn =   652, distance =    1.68, accuracy = 1.00
test_object =   353, predicted_class =   0, true_class =   5, nn =   930, distance =    1.33, accuracy = 0.00
test_object =   354, predicted_class =   6, true_class =   0, nn =   923, distance =    0.82, accuracy = 0.00
test_object =   355, predicted_class =   0, true_class =   0, nn =   300, distance =    0.87, accuracy = 1.00
test_object =   356, predicted_class =   1, true_class =   1, nn =   550, distance =    0.71, accuracy = 1.00
test_object =   357, predicted_class =   6, true_class =   6, nn =   224, distance =    0.36, accuracy = 1.00
test_object =   358, predicted_class =   1, true_class =   6, nn =   548, distance =    0.91, accuracy = 0.00
test_object =   359, predicted_class =   0, true_class =   6, nn =   837, distance =    1.02, accuracy = 0.00
test_object =   360, predicted_class =   2, true_class =   2, nn =   251, distance =    0.51, accuracy = 1.00
test_object =   361, predicted_class =   1, true_class =   6, nn =   356, distance =    1.01, accuracy = 0.00
test_object =   362, predicted_class =   0, true_class =   1, nn =   934, distance =    0.62, accuracy = 0.00
test_object =   363, predicted_class =   6, true_class =   1, nn =   992, distance =    0.44, accuracy = 0.00
test_object =   364, predicted_class =   1, true_class =   6, nn =   591, distance =    1.27, accuracy = 0.00
test_object =   365, predicted_class =   6, true_class =   6, nn =   889, distance =    0.52, accuracy = 1.00
test_object =   366, predicted_class =   0, true_class =   1, nn =   221, distance =    0.53, accuracy = 0.00
test_object =   367, predicted_class =   5, true_class =   5, nn =   261, distance =    0.54, accuracy = 1.00
test_object =   368, predicted_class =   2, true_class =   1, nn =   535, distance =    1.48, accuracy = 0.00
test_object =   369, predicted_class =   5, true_class =   0, nn =   401, distance =    2.42, accuracy = 0.00
test_object =   370, predicted_class =   2, true_class =   2, nn =   504, distance =    0.64, accuracy = 1.00
test_object =   371, predicted_class =   6, true_class =   1, nn =   941, distance =    1.15, accuracy = 0.00
test_object =   372, predicted_class =   1, true_class =   1, nn =   201, distance =    0.29, accuracy = 1.00
test_object =   373, predicted_class =   6, true_class =   6, nn =   243, distance =    0.18, accuracy = 1.00
test_object =   374, predicted_class =   1, true_class =   1, nn =   319, distance =    1.21, accuracy = 1.00
test_object =   375, predicted_class =   6, true_class =   1, nn =   715, distance =    0.82, accuracy = 0.00
test_object =   376, predicted_class =   2, true_class =   2, nn =   721, distance =    0.45, accuracy = 1.00
test_object =   377, predicted_class =   6, true_class =   6, nn =   963, distance =    1.13, accuracy = 1.00
test_object =   378, predicted_class =   6, true_class =   6, nn =   393, distance =    0.18, accuracy = 1.00
test_object =   379, predicted_class =   1, true_class =   1, nn =    43, distance =    0.67, accuracy = 1.00
test_object =   380, predicted_class =   1, true_class =   0, nn =   457, distance =    0.52, accuracy = 0.00
test_object =   381, predicted_class =   6, true_class =   6, nn =   617, distance =    1.13, accuracy = 1.00
test_object =   382, predicted_class =   1, true_class =   0, nn =     7, distance =    0.31, accuracy = 0.00
test_object =   383, predicted_class =   3, true_class =   3, nn =   494, distance =    0.56, accuracy = 1.00
test_object =   384, predicted_class =   6, true_class =   0, nn =   927, distance =    0.53, accuracy = 0.00
test_object =   385, predicted_class =   1, true_class =   6, nn =   618, distance =    0.81, accuracy = 0.00
test_object =   386, predicted_class =   1, true_class =   4, nn =   942, distance =    1.82, accuracy = 0.00
test_object =   387, predicted_class =   1, true_class =   1, nn =   511, distance =    0.96, accuracy = 1.00
test_object =   388, predicted_class =   1, true_class =   6, nn =    88, distance =    1.51, accuracy = 0.00
test_object =   389, predicted_class =   1, true_class =   0, nn =   683, distance =    0.44, accuracy = 0.00
test_object =   390, predicted_class =   6, true_class =   6, nn =   798, distance =    0.42, accuracy = 1.00
test_object =   391, predicted_class =   6, true_class =   6, nn =   676, distance =    0.62, accuracy = 1.00
test_object =   392, predicted_class =   1, true_class =   1, nn =   387, distance =    0.84, accuracy = 1.00
test_object =   393, predicted_class =   6, true_class =   6, nn =   581, distance =    0.41, accuracy = 1.00
test_object =   394, predicted_class =   2, true_class =   6, nn =   809, distance =    0.62, accuracy = 0.00
test_object =   395, predicted_class =   0, true_class =   1, nn =   338, distance =    1.03, accuracy = 0.00
test_object =   396, predicted_class =   2, true_class =   2, nn =   497, distance =    0.83, accuracy = 1.00
test_object =   397, predicted_class =   6, true_class =   6, nn =   987, distance =    1.09, accuracy = 1.00
test_object =   398, predicted_class =   6, true_class =   1, nn =    27, distance =    1.15, accuracy = 0.00
test_object =   399, predicted_class =   6, true_class =   1, nn =   540, distance =    0.47, accuracy = 0.00
test_object =   400, predicted_class =   6, true_class =   6, nn =   871, distance =    0.93, accuracy = 1.00
test_object =   401, predicted_class =   6, true_class =   0, nn =   168, distance =    0.89, accuracy = 0.00
test_object =   402, predicted_class =   6, true_class =   1, nn =   913, distance =    1.52, accuracy = 0.00
test_object =   403, predicted_class =   1, true_class =   6, nn =   582, distance =    0.59, accuracy = 0.00
test_object =   404, predicted_class =   1, true_class =   1, nn =   239, distance =    0.60, accuracy = 1.00
test_object =   405, predicted_class =   6, true_class =   2, nn =   168, distance =    0.98, accuracy = 0.00
test_object =   406, predicted_class =   9, true_class =   9, nn =   762, distance =    1.76, accuracy = 1.00
test_object =   407, predicted_class =   1, true_class =   1, nn =   320, distance =    1.05, accuracy = 1.00
test_object =   408, predicted_class =   1, true_class =   2, nn =   744, distance =    0.42, accuracy = 0.00
test_object =   409, predicted_class =   6, true_class =   1, nn =   811, distance =    0.90, accuracy = 0.00
test_object =   410, predicted_class =   2, true_class =   2, nn =    31, distance =    0.36, accuracy = 1.00
test_object =   411, predicted_class =   2, true_class =   2, nn =   976, distance =    0.73, accuracy = 1.00
test_object =   412, predicted_class =   1, true_class =   6, nn =   420, distance =    0.80, accuracy = 0.00
test_object =   413, predicted_class =   6, true_class =   6, nn =   407, distance =    0.71, accuracy = 1.00
test_object =   414, predicted_class =   3, true_class =   4, nn =   912, distance =    1.00, accuracy = 0.00
test_object =   415, predicted_class =   2, true_class =   2, nn =    51, distance =    1.08, accuracy = 1.00
test_object =   416, predicted_class =   1, true_class =   4, nn =   696, distance =    0.66, accuracy = 0.00
test_object =   417, predicted_class =   0, true_class =   0, nn =   980, distance =    0.65, accuracy = 1.00
test_object =   418, predicted_class =   1, true_class =   1, nn =   358, distance =    0.64, accuracy = 1.00
test_object =   419, predicted_class =   6, true_class =   0, nn =   971, distance =    0.74, accuracy = 0.00
test_object =   420, predicted_class =   6, true_class =   6, nn =   926, distance =    0.56, accuracy = 1.00
test_object =   421, predicted_class =   5, true_class =   1, nn =   259, distance =    0.38, accuracy = 0.00
test_object =   422, predicted_class =   2, true_class =   2, nn =    79, distance =    0.51, accuracy = 1.00
test_object =   423, predicted_class =   6, true_class =   1, nn =   290, distance =    0.27, accuracy = 0.00
test_object =   424, predicted_class =   6, true_class =   6, nn =    34, distance =    0.11, accuracy = 1.00
test_object =   425, predicted_class =   2, true_class =   2, nn =   994, distance =    0.40, accuracy = 1.00
test_object =   426, predicted_class =   6, true_class =   6, nn =   987, distance =    1.09, accuracy = 1.00
test_object =   427, predicted_class =   1, true_class =   6, nn =   140, distance =    0.80, accuracy = 0.00
test_object =   428, predicted_class =   6, true_class =   6, nn =   263, distance =    0.22, accuracy = 1.00
test_object =   429, predicted_class =   0, true_class =   0, nn =     0, distance =    0.56, accuracy = 1.00
test_object =   430, predicted_class =   6, true_class =   0, nn =   662, distance =    1.16, accuracy = 0.00
test_object =   431, predicted_class =   6, true_class =   6, nn =   101, distance =    0.63, accuracy = 1.00
test_object =   432, predicted_class =   8, true_class =   1, nn =   469, distance =    0.51, accuracy = 0.00
test_object =   433, predicted_class =   0, true_class =   6, nn =   190, distance =    0.87, accuracy = 0.00
test_object =   434, predicted_class =   0, true_class =   0, nn =   980, distance =    0.59, accuracy = 1.00
test_object =   435, predicted_class =   5, true_class =   5, nn =   166, distance =    0.68, accuracy = 1.00
test_object =   436, predicted_class =   2, true_class =   8, nn =   513, distance =    0.95, accuracy = 0.00
test_object =   437, predicted_class =   6, true_class =   1, nn =   700, distance =    0.81, accuracy = 0.00
test_object =   438, predicted_class =   6, true_class =   6, nn =   756, distance =    0.71, accuracy = 1.00
test_object =   439, predicted_class =   6, true_class =   2, nn =   103, distance =    0.84, accuracy = 0.00
test_object =   440, predicted_class =   0, true_class =   2, nn =    30, distance =    1.24, accuracy = 0.00
test_object =   441, predicted_class =   6, true_class =   1, nn =   865, distance =    0.67, accuracy = 0.00
test_object =   442, predicted_class =   4, true_class =   2, nn =   974, distance =    0.98, accuracy = 0.00
test_object =   443, predicted_class =   1, true_class =   1, nn =   533, distance =    0.43, accuracy = 1.00
test_object =   444, predicted_class =   8, true_class =   6, nn =   469, distance =    0.65, accuracy = 0.00
test_object =   445, predicted_class =   6, true_class =   6, nn =   471, distance =    0.24, accuracy = 1.00
test_object =   446, predicted_class =   4, true_class =   2, nn =   171, distance =    0.60, accuracy = 0.00
test_object =   447, predicted_class =   7, true_class =   7, nn =   288, distance =    0.90, accuracy = 1.00
test_object =   448, predicted_class =   6, true_class =   6, nn =   453, distance =    0.46, accuracy = 1.00
test_object =   449, predicted_class =   6, true_class =   6, nn =   957, distance =    1.44, accuracy = 1.00
test_object =   450, predicted_class =   1, true_class =   6, nn =   988, distance =    0.83, accuracy = 0.00
test_object =   451, predicted_class =   6, true_class =   2, nn =   103, distance =    0.58, accuracy = 0.00
test_object =   452, predicted_class =   1, true_class =   1, nn =   438, distance =    1.07, accuracy = 1.00
test_object =   453, predicted_class =   0, true_class =   1, nn =   285, distance =    0.29, accuracy = 0.00
test_object =   454, predicted_class =   1, true_class =   1, nn =   252, distance =    0.84, accuracy = 1.00
test_object =   455, predicted_class =   4, true_class =   2, nn =   171, distance =    0.86, accuracy = 0.00
test_object =   456, predicted_class =   0, true_class =   0, nn =   506, distance =    0.84, accuracy = 1.00
test_object =   457, predicted_class =   6, true_class =   1, nn =   822, distance =    0.49, accuracy = 0.00
test_object =   458, predicted_class =   1, true_class =   1, nn =   215, distance =    0.53, accuracy = 1.00
test_object =   459, predicted_class =   6, true_class =   6, nn =   607, distance =    0.76, accuracy = 1.00
test_object =   460, predicted_class =   3, true_class =   3, nn =   398, distance =    2.19, accuracy = 1.00
test_object =   461, predicted_class =   6, true_class =   6, nn =   600, distance =    0.46, accuracy = 1.00
test_object =   462, predicted_class =   0, true_class =   1, nn =   849, distance =    1.41, accuracy = 0.00
test_object =   463, predicted_class =   1, true_class =   1, nn =   214, distance =    1.33, accuracy = 1.00
test_object =   464, predicted_class =   6, true_class =   0, nn =   149, distance =    0.68, accuracy = 0.00
test_object =   465, predicted_class =   2, true_class =   2, nn =   900, distance =    1.03, accuracy = 1.00
test_object =   466, predicted_class =   1, true_class =   1, nn =   438, distance =    1.08, accuracy = 1.00
test_object =   467, predicted_class =   6, true_class =   6, nn =   576, distance =    0.47, accuracy = 1.00
test_object =   468, predicted_class =   1, true_class =   1, nn =   158, distance =    0.49, accuracy = 1.00
test_object =   469, predicted_class =   1, true_class =   6, nn =   914, distance =    0.48, accuracy = 0.00
test_object =   470, predicted_class =   8, true_class =   0, nn =   558, distance =    1.15, accuracy = 0.00
test_object =   471, predicted_class =   0, true_class =   0, nn =   363, distance =    0.30, accuracy = 1.00
test_object =   472, predicted_class =   5, true_class =   3, nn =   326, distance =    0.55, accuracy = 0.00
test_object =   473, predicted_class =   7, true_class =   7, nn =   697, distance =    1.10, accuracy = 1.00
test_object =   474, predicted_class =   0, true_class =   0, nn =   743, distance =    0.93, accuracy = 1.00
test_object =   475, predicted_class =   6, true_class =   0, nn =    25, distance =    0.64, accuracy = 0.00
test_object =   476, predicted_class =   1, true_class =   0, nn =   595, distance =    0.99, accuracy = 0.00
test_object =   477, predicted_class =   1, true_class =   0, nn =   341, distance =    0.48, accuracy = 0.00
test_object =   478, predicted_class =   4, true_class =   4, nn =   624, distance =    0.77, accuracy = 1.00
test_object =   479, predicted_class =   2, true_class =   2, nn =   513, distance =    0.78, accuracy = 1.00
test_object =   480, predicted_class =   0, true_class =   1, nn =   837, distance =    0.26, accuracy = 0.00
test_object =   481, predicted_class =   0, true_class =   7, nn =     3, distance =    0.48, accuracy = 0.00
test_object =   482, predicted_class =   1, true_class =   1, nn =    53, distance =    1.07, accuracy = 1.00
test_object =   483, predicted_class =   0, true_class =   0, nn =   855, distance =    0.46, accuracy = 1.00


classification accuracy = 0.4876
